,compramos,conpramos,marchamos,destrabar,lonchamos,contreras,cangrejos,montresol,sangrones,monntanas,disfrutas,contratan,desplumar,tendremos,disfraces,disfrutar,describir,comprobar,lumbreras,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0
Ceele_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_4,5,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0
Ceele_5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Ceele_6,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
Ceele_7,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
cuentos_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
cuentos_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0
cuentos_7,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,6.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,27.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0
