,veia,caia,beia,guia,reia,leeo,nooo,peio,muuy,guio,raie,taay,qeue,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_4,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
Ceele_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_6,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
Ceele_7,0,0,0,1,0,1,0,0,0,0,1,1,1,5.0
cuentos_1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_3,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
cuentos_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_1,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_2,2,1,0,0,1,0,0,0,0,0,0,0,0,4.0
excale_3,6,1,2,0,0,0,0,0,1,1,0,0,0,11.0
excale_4,1,1,0,0,1,0,0,0,0,0,0,0,0,3.0
excale_5,2,0,1,0,0,0,0,0,0,0,0,0,0,3.0
excale_6,2,1,0,1,0,0,0,0,0,0,0,0,0,4.0
excale_7,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Total,18.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0
